date;Arconate;Caiolo;Cinisello_PN;Mantova_Lunetta2;Pieve_SGiacomo;Vertemate
01/01/2015;406.32;88.44;NA;2640.08;965.31;NA
02/01/2015;314.81;369.61;NA;2622.43;639.07;NA
03/01/2015;631.75;251.64;496.76;148.03;402.19;NA
04/01/2015;NA;1552.64;NA;2220.83;2982.92;NA
05/01/2015;1546.52;189.52;NA;1353.81;670.32;NA
06/01/2015;1884.34;321.33;1615.95;1372.96;948.02;NA
07/01/2015;159.2;113.05;NA;631.75;912.91;NA
08/01/2015;442.62;130.47;1244.88;1267.62;1153.11;NA
09/01/2015;263.34;342.61;NA;578.13;484.12;NA
10/01/2015;535.86;869.82;2556.66;755.57;999.36;NA
11/01/2015;NA;1024.1;NA;3301.33;NA;NA
12/01/2015;407.78;815.56;NA;2686.87;1294.22;NA
13/01/2015;296.86;376.12;378.65;421.34;379.05;NA
14/01/2015;280.63;143.64;NA;974.19;726.18;NA
15/01/2015;1037.8;582.41;634.41;367.08;474.14;NA
16/01/2015;678.56;217.85;NA;4185.25;4974.71;NA
17/01/2015;3551.77;683.09;2061.51;2736.62;3075.09;NA
18/01/2015;418.42;221.58;NA;673.11;342.61;NA
19/01/2015;526.68;536.26;NA;1040.73;1492.26;NA
20/01/2015;323.19;137.26;621.38;704.43;379.85;NA
21/01/2015;1809.15;200.03;NA;1645.08;748.26;NA
22/01/2015;1495.99;192.05;NA;2221.1;2143.96;NA
23/01/2015;969.17;100.55;908.52;2687.84;2409.38;NA
24/01/2015;1382.54;107.06;NA;1393.31;1959.89;NA
25/01/2015;NA;259.35;NA;1084.09;1525.24;NA
26/01/2015;829.92;100.55;NA;983.14;2830.24;NA
27/01/2015;311.22;422.81;273.58;1011.86;763.42;NA
28/01/2015;935.66;295.26;694.92;1922.38;1564.08;NA
29/01/2015;971.15;771.4;NA;2004.32;620.98;NA
30/01/2015;NA;465.5;4119.68;6363.92;8308.38;NA
31/01/2015;1716.5;356.17;1978.64;2047.14;1732.46;NA
01/02/2015;1170.4;263.87;NA;3091.85;2228.81;NA
02/02/2015;1008.14;158.27;NA;1392.78;1516.2;NA
03/02/2015;1064.53;1424.43;821.28;3206.65;2291.86;NA
04/02/2015;1334.79;464.97;916.1;4342.06;2349.31;NA
05/02/2015;NA;536.26;NA;18934.15;NA;NA
06/02/2015;NA;647.98;NA;6727.5;NA;NA
07/02/2015;364.02;848.54;761.29;1791.91;800.66;NA
08/02/2015;NA;10685.62;NA;1811.46;1260.84;NA
09/02/2015;806.51;2534.45;NA;2021.6;NA;NA
10/02/2015;517.1;377.45;NA;562.59;163.17;NA
11/02/2015;598.5;532.27;NA;1249.67;435.84;NA
12/02/2015;1061.34;805.71;1103.1;927.28;126.35;NA
13/02/2015;237.01;3106.61;231.69;544.9;181.55;NA
14/02/2015;1300.74;983.14;806.78;2982.55;1115.6;NA
15/02/2015;9164.23;1932.76;NA;4397.05;1023.7;NA
16/02/2015;1824.49;363.89;NA;3864.71;370.27;NA
17/02/2015;712.35;539.98;540.38;1370.43;492.1;NA
18/02/2015;815.02;1098.58;963.58;2052.86;697.45;NA
19/02/2015;638.4;804.52;619.12;1109.62;441.29;NA
20/02/2015;744.8;1299.14;NA;653.43;195.51;NA
21/02/2015;1293.29;588.99;1752.41;5921.16;5579.62;NA
22/02/2015;2253.08;487.58;NA;7047.56;4392.19;NA
23/02/2015;361.09;242.06;NA;1160.42;746.93;NA
24/02/2015;NA;244.32;2651.49;1940.74;2864.16;NA
25/02/2015;NA;865.7;1296.75;2830.24;1526.97;NA
26/02/2015;1729;1312.71;NA;651.97;432.25;NA
27/02/2015;278.9;337.95;402.19;1167.08;939.25;NA
28/02/2015;1882.88;3236.69;888.44;1510.88;481.46;NA
01/03/2015;1011.07;1627.92;NA;2143.43;1228.92;NA
02/03/2015;825.66;533.46;NA;1576.05;1568.07;NA
03/03/2015;2781.03;1047.24;2374.85;2648.3;2540.3;NA
04/03/2015;13401.76;5480.53;1615.68;9428.48;9591.53;NA
05/03/2015;15804.39;5805.45;NA;3918.81;13129.23;NA
06/03/2015;1795.23;670.32;587.33;NA;4634.78;NA
07/03/2015;542.64;1294.76;1150.72;NA;628.43;NA
08/03/2015;961.86;829.92;NA;NA;659.68;NA
09/03/2015;895.36;2301.43;NA;NA;1096.72;NA
10/03/2015;788.42;1159.89;673.78;816.35;737.35;NA
11/03/2015;1525.78;3231.9;1596.66;2038.49;1324.68;NA
12/03/2015;1538.68;1269.88;1545.73;845.88;750.39;NA
13/03/2015;818.46;4971.54;727.78;2141.83;940.58;NA
14/03/2015;1587.22;3418.76;NA;NA;1535.35;NA
15/03/2015;2753.9;2379.64;NA;NA;NA;NA
16/03/2015;1361.92;1092.86;NA;NA;NA;NA
17/03/2015;1538.81;469.22;825.93;5661.68;3362.45;NA
18/03/2015;1326.67;4510.83;NA;NA;778.05;NA
19/03/2015;1108.42;4784.01;NA;NA;NA;NA
20/03/2015;524.69;3852.88;563.92;NA;1010.53;NA
21/03/2015;739.35;1127.97;619.25;1926.37;861.71;NA
22/03/2015;1396.5;2375.91;NA;NA;NA;NA
23/03/2015;770.87;1416.05;1361.25;635.74;954.41;NA
24/03/2015;1085.28;547.96;NA;NA;NA;NA
25/03/2015;2683.67;1139.54;1650.11;8936.54;12728.9;NA
26/03/2015;974.76;3727.19;895.62;NA;NA;NA
27/03/2015;9006.23;NA;NA;NA;3762.3;NA
28/03/2015;NA;3434.59;NA;NA;NA;NA
29/03/2015;NA;4494.87;NA;NA;NA;NA
30/03/2015;NA;5490.24;NA;NA;NA;NA
31/03/2015;9987.77;7399.06;8338.3;1953.5;8492.32;NA
01/04/2015;11305;5469.49;12091.83;9460.02;15484.39;NA
02/04/2015;1804.81;5941.91;NA;NA;NA;NA
03/04/2015;3211.95;5806.65;2513.7;3525.56;3642.74;NA
04/04/2015;1697.85;2649.09;NA;NA;NA;NA
05/04/2015;1636.56;1451.56;NA;NA;NA;NA
06/04/2015;8769.22;4719.5;NA;NA;NA;NA
07/04/2015;6778.21;NA;NA;NA;NA;NA
08/04/2015;1293.16;2437.89;1605.04;2348.11;1323.48;NA
09/04/2015;789.09;6089.54;NA;NA;NA;NA
10/04/2015;962.39;4556.18;689.6;NA;683.62;NA
11/04/2015;1161.09;NA;NA;NA;NA;NA
12/04/2015;592.52;NA;NA;NA;NA;NA
13/04/2015;1536.15;NA;NA;NA;NA;NA
14/04/2015;716.74;919.3;778.05;NA;886.31;NA
15/04/2015;782.31;4341.12;NA;NA;1401.15;NA
16/04/2015;1433.21;NA;NA;NA;1065.99;NA
17/04/2015;851.6;NA;1002.29;NA;NA;NA
18/04/2015;6509.55;3784.91;NA;NA;11844.05;NA
19/04/2015;3972.44;NA;NA;NA;NA;NA
20/04/2015;912.91;NA;NA;NA;NA;NA
21/04/2015;1079.69;3219.27;1292.76;NA;769.27;NA
22/04/2015;1724.21;3753.79;1531.23;NA;915.31;NA
23/04/2015;2457.84;NA;2960.58;NA;NA;NA
24/04/2015;1795.5;NA;NA;NA;NA;NA
25/04/2015;900.14;NA;NA;NA;1871.31;NA
26/04/2015;365.08;NA;NA;NA;NA;NA
27/04/2015;2610.79;NA;NA;NA;NA;NA
28/04/2015;8385.25;NA;NA;NA;2132.67;NA
29/04/2015;3798.48;4395.12;NA;NA;NA;NA
30/04/2015;1827.71;NA;NA;NA;NA;NA
01/05/2015;618.45;NA;529.07;NA;1723.41;NA
02/05/2015;1580.04;NA;NA;NA;NA;NA
03/05/2015;955.21;NA;NA;NA;NA;NA
04/05/2015;280.9;NA;NA;NA;NA;NA
05/05/2015;817.95;3784.91;678.83;NA;1206.58;NA
06/05/2015;1630.31;NA;NA;NA;NA;NA
07/05/2015;1818.78;NA;NA;NA;NA;NA
08/05/2015;1828.22;NA;NA;NA;NA;NA
09/05/2015;801.72;768.47;1196.07;NA;1737.51;NA
10/05/2015;534;NA;NA;NA;NA;NA
11/05/2015;1177.58;NA;NA;NA;NA;NA
12/05/2015;959.73;NA;1059.21;NA;NA;NA
13/05/2015;979.4;NA;NA;NA;NA;NA
14/05/2015;1678.99;4275.68;1385.33;NA;4504.31;NA
15/05/2015;10107.73;NA;NA;7718.26;NA;NA
16/05/2015;646.91;NA;NA;1727.27;NA;NA
17/05/2015;472.15;NA;NA;1182.1;NA;NA
18/05/2015;1556.63;NA;NA;1486.28;NA;NA
19/05/2015;2748.31;2282.01;NA;1956.41;2184.66;NA
20/05/2015;5224.77;NA;NA;3313.3;6267.49;NA
21/05/2015;5271.59;NA;NA;4270.63;6937.81;NA
22/05/2015;1816.25;NA;NA;1856.56;3429.14;NA
23/05/2015;3471.7;NA;NA;1258.71;1508.22;NA
24/05/2015;889.5;NA;NA;720.19;886.31;NA
25/05/2015;952.41;NA;NA;1223.07;1633.9;NA
26/05/2015;1621.27;NA;NA;1702.8;2145.02;NA
27/05/2015;1351.81;NA;NA;2467.15;1433.74;NA
28/05/2015;1098.85;4518.81;1404.08;3218.6;1899.24;NA
29/05/2015;1005.48;NA;NA;1275.6;1200.72;NA
30/05/2015;1226.13;NA;1621.8;807.18;1897.64;NA
31/05/2015;454.86;NA;454.86;2658.4;2047.4;NA
01/06/2015;501.41;NA;1270.05;1170.4;1532.16;NA
02/06/2015;512.32;NA;488.38;788.42;718.2;NA
03/06/2015;495.29;NA;703.84;989.52;621.38;NA
04/06/2015;759.7;1145.13;458.18;940.04;788.42;NA
05/06/2015;620.71;3489.25;459.65;NA;1041.39;NA
06/06/2015;678.3;5777.52;759.7;NA;722.19;NA
07/06/2015;900.14;4268.37;1264.03;NA;1083.82;NA
08/06/2015;3770.55;2627.42;2362.48;NA;4237.38;NA
09/06/2015;973.56;2228.81;NA;NA;NA;NA
10/06/2015;1987.55;1430.02;1605.18;NA;NA;NA
11/06/2015;849.07;2313.53;562.32;NA;1007.48;NA
12/06/2015;1000.69;1461.54;3551.5;NA;2932.65;NA
13/06/2015;1264.03;971.96;924.88;758.1;2465.82;NA
14/06/2015;2721.31;1149.12;1548.12;5660.48;3763.9;NA
15/06/2015;1036.07;727.78;1820.64;1871.84;NA;NA
16/06/2015;1000.29;553.41;1386.53;3703.52;2704.69;NA
17/06/2015;991.91;2485.77;1040.06;3537.13;1781.4;NA
18/06/2015;792.02;2767.46;700.11;1997;1703.73;NA
19/06/2015;3179.63;4194.29;2638.72;3436.36;5651.97;NA
20/06/2015;2124.28;3416.1;2538.84;5100.55;4583.31;NA
21/06/2015;688.28;2801.38;943.24;1003.35;541.44;NA
22/06/2015;2502.66;3947.44;1183.83;2255.68;1731.93;NA
23/06/2015;7197.16;3107.41;1612.23;6058.42;6421.24;NA
24/06/2015;5759.09;4929.25;4614.09;5472.95;6145.66;NA
25/06/2015;911.18;4527.05;747.99;1589.08;863.04;NA
26/06/2015;676.7;3949.57;642.66;1149.78;570.57;NA
27/06/2015;917.17;3954.89;1628.72;4343.78;2914.3;NA
28/06/2015;986.33;3517.85;1108.82;1128.24;852.26;NA
29/06/2015;1435.34;3972.71;1296.22;2307.82;1636.96;NA
30/06/2015;987.39;5576.03;940.04;1148.06;1498.11;NA
01/07/2015;892.03;4541.02;614.46;1303.13;569.77;NA
02/07/2015;907.33;4988.16;949.62;1134.89;639.6;NA
03/07/2015;2025.86;4708.2;2914.96;3054.74;2619.83;NA
04/07/2015;1122.65;2819.47;2094.48;1419.77;743.2;NA
05/07/2015;1005.48;5661.54;744.8;1314.31;737.22;NA
06/07/2015;977.95;4711.53;1267.22;1583.23;975.69;NA
07/07/2015;722.19;5052.54;1469.65;1182.1;425.6;NA
08/07/2015;1138.48;1419.91;2170.56;2255.28;1009.2;NA
09/07/2015;2811.75;3902.75;2561.58;5683.76;3766.83;NA
10/07/2015;1274.14;4343.91;1426.43;3968.99;3054.74;NA
11/07/2015;1284.78;4749.7;1449.7;1141.14;495.16;NA
12/07/2015;873.81;3894.24;837.9;1379.88;614.46;NA
13/07/2015;1274.14;2178.54;1694.95;1789.38;914.64;NA
14/07/2015;885.25;4366.66;1089.27;1292.23;611.53;NA
15/07/2015;1426.43;4813.93;1084.08;1932.22;1010.8;NA
16/07/2015;NA;5060.92;1369.37;1426.29;1061.47;NA
17/07/2015;NA;3684.37;1765.18;1107.36;699.31;NA
18/07/2015;NA;3670.8;1375.35;1592.94;495.42;NA
19/07/2015;NA;2590.17;1859.34;1192.61;1103.1;NA
20/07/2015;NA;1949.51;1129.57;1413.12;957.47;NA
21/07/2015;1086.61;3561.07;1350.22;1168.54;274.91;NA
22/07/2015;NA;2457.84;2174.55;1184.23;1158.16;NA
23/07/2015;NA;4172.74;1173.06;2222.3;1540.14;NA
24/07/2015;NA;2316.19;2461.04;3854.34;1675.8;NA
25/07/2015;NA;3445.76;1756;2218.44;1324.68;NA
26/07/2015;NA;4103.98;2677.29;3517.18;2264.19;NA
27/07/2015;NA;3210.35;1106.03;1559.42;1199.53;NA
28/07/2015;1410.33;4010.88;2298.77;1829.03;1777.54;NA
29/07/2015;4123;4221.69;2657.34;3539;2040.19;NA
30/07/2015;2502.66;4496.33;1554.51;3477.15;2548.28;NA
31/07/2015;2009.76;5960.26;1932.76;4089.35;4722.03;NA
01/08/2015;1192.74;523.09;1034.74;2468.48;1596;NA
02/08/2015;1079.83;4892.14;1054.17;NA;1385.33;NA
03/08/2015;878.6;4148.54;842.69;994.31;255.36;NA
04/08/2015;845.61;3525.83;1281.59;981.94;492.1;NA
05/08/2015;993.51;3737.43;994.84;832.31;470.29;NA
06/08/2015;1112.41;3947.04;730.17;892.03;318.93;NA
07/08/2015;998.3;4628.4;1119.99;2225.89;637.6;NA
08/08/2015;2102.73;3743.02;1041.12;853.86;1537.48;NA
09/08/2015;2007.24;5965.05;2208.86;2346.92;1830.21;NA
10/08/2015;5070.49;5613.93;4411.05;4845.46;4288.98;NA
11/08/2015;994.84;NA;1027.03;1191.54;1566.74;NA
12/08/2015;868.22;3447.36;1128.37;1133.16;1140.47;NA
13/08/2015;1396.5;2766.4;806.11;1269.09;381.71;NA
14/08/2015;2042.88;1627.39;1203.38;988.99;1360.59;NA
15/08/2015;2197.69;2405.97;852.26;1843.65;1950.44;NA
16/08/2015;1205.38;590.52;1514.6;1716.37;1770.5;NA
17/08/2015;3082.94;739.75;2052.99;2106.85;1799.49;NA
